CustomerID,Total Purchase,Frequency,Recency,Cluster
12347.0,4310.000000000001,7,40,1
12348.0,1797.24,4,76,0
12349.0,1757.5500000000002,1,19,0
12350.0,334.40000000000003,1,311,2
12352.0,2506.0400000000004,8,73,0
12353.0,89.0,1,204,2
12354.0,1079.3999999999999,1,233,2
12355.0,459.4,1,96,0
12356.0,2811.43,3,23,0
12357.0,6207.67,1,182,0
12358.0,1168.06,2,3,0
12359.0,6372.58,4,9,1
12360.0,2662.06,3,53,0
12361.0,189.89999999999998,1,288,2
12362.0,5226.23,10,30,1
12363.0,552.0,2,36,0
12364.0,1313.1000000000001,4,41,0
12365.0,641.3799999999999,2,292,2
12367.0,168.89999999999998,1,212,2
12370.0,3545.6899999999996,4,52,0
12371.0,1887.96,2,30,0
12372.0,1298.0400000000002,3,35,0
12373.0,364.6,1,342,2
12374.0,742.93,1,26,0
12375.0,457.5,2,11,0
12377.0,1628.12,2,316,2
12378.0,4008.62,1,305,2
12379.0,852.24,2,82,0
12380.0,2724.8100000000004,4,22,0
12381.0,1845.3100000000004,5,0,0
12383.0,1850.5600000000002,5,9,0
12384.0,585.2700000000001,2,29,0
12386.0,401.9,2,192,2
12388.0,2780.6600000000003,6,16,0
12390.0,549.84,1,80,0
12391.0,460.89,1,22,0
12393.0,1582.6000000000001,4,39,0
12394.0,1272.48,2,153,0
12395.0,3018.63,12,5,1
12397.0,2409.9000000000005,2,136,0
12398.0,1635.6599999999999,1,46,0
12399.0,1108.65,4,2,0
12401.0,84.3,1,99,0
12402.0,225.6,1,324,2
12403.0,427.7,1,50,0
12405.0,1710.3900000000003,1,149,0
12406.0,3415.3,2,22,0
12407.0,1708.1199999999997,5,50,0
12408.0,2888.55,5,152,0
12409.0,11072.67,3,65,1
12410.0,693.3299999999999,2,252,2
12412.0,1226.88,3,75,0
12413.0,758.1,3,192,2
12414.0,562.41,3,188,2
12417.0,3649.1000000000004,9,40,1
12418.0,668.58,1,113,0
12420.0,600.3900000000001,1,153,2
12421.0,807.0400000000001,4,16,0
12422.0,803.5599999999998,3,169,2
12423.0,1859.31,8,89,0
12424.0,1760.9599999999996,2,163,0
12425.0,777.1999999999999,1,78,0
12426.0,582.73,1,195,2
12427.0,825.8,3,22,0
12428.0,7956.46,9,26,1
12429.0,3750.4,4,9,0
12430.0,256.4,1,44,0
12431.0,6487.45,15,2,1
12432.0,5059.319999999999,5,43,1
12433.0,13375.87,7,10,1
12434.0,806.14,2,85,0
12435.0,7829.890000000001,2,80,1
12436.0,509.01000000000005,1,335,2
12437.0,4951.41,18,9,1
12438.0,2906.8500000000004,2,15,0
12441.0,173.55,1,485,2
12442.0,172.06,1,181,2
12444.0,5005.46,5,0,1
12445.0,133.4,1,22,0
12446.0,1002.3100000000001,1,58,0
12447.0,476.49,1,67,0
